[[(array([[  44.04990926,  435.77949183],
         [ 100.9137931 ,  397.87023593],
         [ 167.25499093,  372.146098  ],
         [ 213.2876588 ,  378.91560799],
         [ 244.42740472,  404.63974592],
         [ 172.67059891,  470.98094374],
         [ 291.81397459,  492.64337568],
         [ 305.35299456,  410.0553539 ],
         [ 358.15517241,  399.22413793],
         [ 404.18784029,  435.77949183],
         [ 339.20054446,  468.27313975],
         [ 470.52903811,  416.82486388],
         [ 493.54537205,  372.146098  ],
         [ 547.70145191,  369.43829401],
         [ 546.34754991,  433.07168784],
         [ 612.68874773,  433.07168784],
         [ 646.53629764,  410.0553539 ],
         [ 681.73774955,  385.68511797],
         [ 714.23139746,  381.62341198],
         [ 807.65063521,  361.31488203],
         [ 848.2676951 ,  389.74682396],
         [ 910.54718693,  385.68511797],
         [ 802.23502722,  426.30217786],
         [ 748.07894737,  423.59437387],
         [ 689.86116152,  442.54900181],
         [ 715.58529946,  489.93557169],
         [ 791.40381125,  487.2277677 ],
         [  26.4491833 ,  156.87568058],
         [  53.52722323,  137.92105263],
         [  80.60526316,  137.92105263],
         [  92.79038113,  114.90471869],
         [ 144.23865699,  125.73593466],
         [ 125.28402904,  141.98275862],
         [ 141.53085299,  160.93738657],
         [ 115.80671506,  189.36932849],
         [  86.02087114,  198.84664247],
         [  54.88112523,  173.12250454],
         [  21.03357532,  225.9246824 ],
         [  50.81941924,  257.06442831],
         [  57.58892922,  282.78856624],
         [  92.79038113,  280.08076225],
         [  96.85208711,  242.17150635],
         [ 169.96279492,  185.3076225 ],
         [ 191.62522686,  133.85934664],
         [ 213.2876588 ,  137.92105263],
         [ 192.97912886,  204.26225045],
         [ 207.87205082,  235.40199637],
         [ 207.87205082,  254.35662432],
         [ 229.53448276,  205.61615245],
         [ 248.48911071,  229.98638838],
         [ 240.36569873,  286.85027223],
         [ 172.67059891,  286.85027223],
         [ 207.87205082,  311.22050817],
         [ 221.41107078,  334.23684211],
         [ 263.38203267,  334.23684211],
         [ 267.44373866,  255.71052632],
         [ 276.92105263,  234.04809437],
         [ 271.50544465,  213.73956443],
         [ 224.11887477,  158.22958258],
         [ 207.87205082,  113.5508167 ],
         [ 228.18058076,  110.8430127 ],
         [ 241.71960073,  106.78130672],
         [ 249.8430127 ,  105.42740472],
         [ 260.67422868,   95.95009074],
         [ 241.71960073,  144.69056261],
         [ 262.02813067,  147.39836661],
         [ 272.85934664,  140.62885662],
         [ 262.02813067,  175.83030853],
         [ 278.27495463,  162.29128857],
         [ 271.50544465,  147.39836661],
         [ 297.22958258,  147.39836661],
         [ 301.29128857,  160.93738657],
         [ 294.52177858,  129.79764065],
         [ 286.39836661,  135.21324864],
         [ 275.56715064,  113.5508167 ],
         [ 287.7522686 ,  104.07350272],
         [ 310.76860254,  101.36569873],
         [ 234.95009074,  128.44373866],
         [ 249.8430127 ,  118.96642468],
         [ 317.53811252,  320.69782214],
         [ 340.55444646,  305.80490018],
         [ 308.06079855,  242.17150635],
         [ 291.81397459,  266.54174229],
         [ 337.84664247,  243.52540835],
         [ 321.59981851,  201.55444646],
         [ 294.52177858,  198.84664247],
         [ 297.22958258,  178.53811252],
         [ 276.92105263,  194.78493648],
         [ 355.44736842,  198.84664247],
         [ 336.49274047,  200.20054446],
         [ 343.26225045,  178.53811252],
         [ 347.32395644,  166.35299456],
         [ 322.95372051,  156.87568058],
         [ 343.26225045,  150.1061706 ],
         [ 347.32395644,  104.07350272],
         [ 337.84664247,  101.36569873],
         [ 348.67785844,  124.38203267],
         [ 367.63248639,  110.8430127 ],
         [ 382.52540835,  106.78130672],
         [ 381.17150635,   97.30399274],
         [ 385.23321234,   91.88838475],
         [ 374.40199637,   91.88838475],
         [ 367.63248639,   95.95009074],
